portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
port207,Kolkata (Syama Prasad Mookerje Port),India,IND,Asia & Pacific,"Kolkata (Syama Prasad Mookerje Port), India",22.53574401,88.29958111,642,434,9,187,1,11,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,0.2,0.16,,f249c72988f340889336ae3b789b03fa,India,1142
port235,Chennai (Madras),India,IND,Asia & Pacific,"Chennai (Madras), India",13.10046724,80.29425074,1511,565,163,277,52,454,Mineral Products,Chemical & Allied Industries,Vegetable Products,3.76,2.22,,885c7325b55f410c806a7f50e3fc785b,India,1143
port271,Dahej,India,IND,Asia & Pacific,"Dahej, India",21.70299817,72.57511466,735,15,250,130,2,338,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",4.31,0.65,IN DAH,9f444f5b830d4917bef61b3a99d8da4f,India,1144
port290,Dhamra Port,India,IND,Asia & Pacific,"Dhamra Port, India",20.82773698,86.9595015,367,0,360,7,0,0,Mineral Products,Chemical & Allied Industries,Vegetable Products,3.23,3.45,IN DMQ,30897f7645a942fd96753b627a00d606,India,1145
port442,Haldia,India,IND,Asia & Pacific,"Haldia, India",22.0577906,88.10419444,1433,150,711,111,0,461,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",4.33,1.54,IN HAL,37ecc25d36c640349906f484a377ca82,India,1146
port511,Jaigad Port,India,IND,Asia & Pacific,"Jaigad Port, India",17.29523509,73.21867272,584,4,200,363,0,17,Mineral Products,Chemical & Allied Industries,Vegetable Products,2.32,0.38,IN JGD,5047177b98ec4e0da25e4b6877c3299b,India,1147
port529,Kakinada,India,IND,Asia & Pacific,"Kakinada, India",16.98707395,82.27189263,741,32,412,96,0,201,Mineral Products,Chemical & Allied Industries,Vegetable Products,2.43,3.09,IN KAK,4219a1d184264da0a3487b2fdc83680d,India,1148
port534,Kamarajar Port,India,IND,Asia & Pacific,"Kamarajar Port, India",13.27933099,80.33854581,798,134,330,19,89,226,Mineral Products,Chemical & Allied Industries,Vegetable Products,5.3,0.82,IN ENR,fcd76f2c63c44a8b802572ab9811550b,India,1149
port540,Kandla,India,IND,Asia & Pacific,"Kandla, India",23.0091192,70.21565487,1967,260,690,215,3,799,Mineral Products,Chemical & Allied Industries,Vegetable Products,4.88,7.1,IN IXY,24047fc9a9db476daade044a4ce03b4e,India,1150
port544,Karaikal,India,IND,Asia & Pacific,"Karaikal, India",10.84053369,79.84255847,111,0,102,3,0,6,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,1.14,0.04,IN KRK,ee4efc2357874e8aa3239955cf5bd2e9,India,1151
port583,Cochin (Kochi),India,IND,Asia & Pacific,"Cochin (Kochi), India",9.969351911,76.25922208,1037,487,82,99,3,366,Mineral Products,Vegetable Products,Chemical & Allied Industries,1.21,2.26,,03f94cf3eb3942faa7525245246ae81b,India,1152
port599,Krishnapatnam Port,India,IND,Asia & Pacific,"Krishnapatnam Port, India",14.26065023,80.11792197,916,131,600,54,1,130,Mineral Products,Vegetable Products,Chemical & Allied Industries,7.61,2.2,IN KRI,2ec26864b5934a00b4b2cdf0528ba600,India,1153
port679,Magdalla,India,IND,Asia & Pacific,"Magdalla, India",21.13429214,72.67743533,724,0,223,436,0,65,Mineral Products,Chemical & Allied Industries,Metals,0.03,0.05,IN MDA,ffedf943a249437783d684b5fdf5b21a,India,1154
port709,Mormugao,India,IND,Asia & Pacific,"Mormugao, India",15.40731887,73.80153102,367,13,234,43,1,76,Mineral Products,Chemical & Allied Industries,Vegetable Products,2.19,1.08,IN MRM,b49a79da507a4c1fbf0e0f936cf2a13c,India,1155
port776,Mumbai-Jawaharlal Nehru (Nhava Sheva),India,IND,Asia & Pacific,"Mumbai-Jawaharlal Nehru (Nhava Sheva), India",18.91732276,72.93965039,6559,2071,1067,1818,101,1502,Mineral Products,Chemical & Allied Industries,Vegetable Products,17.5,22.59,IN BOM,926f6c0832684f1cab0ee7441ccc4e35,India,1156
port777,Mundra,India,IND,Asia & Pacific,"Mundra, India",22.76296998,69.6220188,2815,1995,450,95,61,214,Mineral Products,Vegetable Products,Chemical & Allied Industries,7.66,7.95,IN MUN,836becdc81bc48ed9d05f19e3253d626,India,1157
port801,Navlakhi,India,IND,Asia & Pacific,"Navlakhi, India",22.95724298,70.45245138,64,4,1,59,0,0,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.0,0.0,IN NAV,9e1891d7b0094e0a9273486e3d788e40,India,1158
port811,New Mangalore,India,IND,Asia & Pacific,"New Mangalore, India",12.93776393,74.81887955,1135,175,243,60,0,657,Mineral Products,Chemical & Allied Industries,Vegetable Products,4.19,3.81,IN NML,7ee572f618dc41a7ae9c8b9168b353b9,India,1159
port883,Paradip,India,IND,Asia & Pacific,"Paradip, India",20.28045307,86.64892168,1267,13,1044,49,0,161,Mineral Products,Chemical & Allied Industries,Stone & Glass,4.89,16.35,IN PRT,644e04e9595641e599a7c1b582a93f6a,India,1160
port907,Pipavav Port,India,IND,Asia & Pacific,"Pipavav Port, India",20.90789389,71.46568355,875,222,242,298,32,81,Vegetable Products,Mineral Products,Prepared Foodstuffs & Beverages,1.17,1.51,IN-PAV,7735fa8945344b2aaa5faa217e03c7e1,India,1161
port1199,Sikka,India,IND,Asia & Pacific,"Sikka, India",22.36483725,69.80786454,488,0,8,18,0,462,Mineral Products,Chemical & Allied Industries,Metals,0.0,7.26,,6eff445f193b4f288087638d2d419a40,India,1162
port1331,Tuticorin,India,IND,Asia & Pacific,"Tuticorin, India",8.765928225,78.18889725,1253,460,367,291,3,132,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,4.0,0.89,IN TUT,ccf6cde4a0fb4383a33e987703ffb092,India,1163
port1367,Visakhapatnam,India,IND,Asia & Pacific,"Visakhapatnam, India",17.65545047,83.23140922,1850,231,1166,110,1,342,Mineral Products,Chemical & Allied Industries,Metals,9.94,10.45,IN VTZ,906332162ba54b8b9b13cb846d4ba905,India,1164
port2038,Kattupalli,India,IND,Asia & Pacific,"Kattupalli, India",13.3028360623488,80.3478454189246,357,268,32,43,0,14,,,,0.31,0.49,IN KTP,23b346c692f1458ea08d967862280200,India,1416
port2039,Hazira,India,IND,Asia & Pacific,"Hazira, India",21.0867418434348,72.646256828019,1238,247,478,242,0,271,,,,5.24,1.73,IN HZA,b0ac0ecbec094ef985beb4f8fba111b7,India,1417
port2150,Vizhinjam,India,IND,Asia & Pacific,"Vizhinjam, India",8.36856104748015,76.993736641428,55,54,0,1,0,0,,,,0.07,0.17,IN VZJ,dc77c1b52c674753b03526db90f12e12,India,1535
port2151,Karwar,India,IND,Asia & Pacific,"Karwar, India",14.7698923706459,74.1341444434512,63,0,9,2,0,52,,,,0.05,0.05,IN KRW,13424b00515b463e9d112d92c5bf6d7d,India,1536
port2152,Port Blair,India,IND,Asia & Pacific,"Port Blair, India",11.676789659007,92.7224725576251,149,45,3,77,0,24,,,,0.04,0.02,IN IXZ,04d35d49e43d4da7b5ec96d206168711,India,1537
port2299,Gopalpur,India,IND,Asia & Pacific,"Gopalpur, India",19.29112737743345,84.95741871367457,130,0,121,9,0,0,,,,0.56,1.41,,d9588349bab2429baaf5f6f0cab061af,India,1677
port2344,Tuna,India,IND,Asia & Pacific,"Tuna, India",22.905656521572535,70.10859578301307,113,0,103,2,0,8,,,,1.34,0.01,IN TUN,35669226c5044607b0e15d08f8e0490c,India,1722
port2378,Dhabol LNG Terminal,India,IND,Asia & Pacific,"Dhabol LNG Terminal, India",17.533679505186317,73.14709066767129,16,0,0,0,0,16,,,,0.12,0.0,,524db31804344b858e2fd9e08a9faa73,India,1755
fso82,India - Offshore Oil Terminal 1,India,IND,Asia & Pacific,"India - Offshore Oil Terminal 1, India",16.553,82.59500000000001,0,0,0,0,0,0,,,,0.0,0.02,,fa5f4ec9f127472090096a7b3d4dba18,India,1886
fso83,India - Offshore Oil Terminal 2,India,IND,Asia & Pacific,"India - Offshore Oil Terminal 2, India",16.37,82.32199999999999,3,0,0,0,0,3,,,,0.0,0.06,,869cc50ff12044ff8ea891373fcd5439,India,1887
fso84,India - Offshore Oil Terminal 3,India,IND,Asia & Pacific,"India - Offshore Oil Terminal 3, India",18.58699999999999,71.03500000000001,9,0,0,0,0,9,,,,0.0,0.17,,f46194f94d5f4758a02c4957a74c8523,India,1888
fso85,India - Offshore Oil Terminal 4,India,IND,Asia & Pacific,"India - Offshore Oil Terminal 4, India",19.011999999999997,71.78499999999997,4,0,0,0,0,4,,,,0.0,0.0,,3ae3cc96173d4814b448c31bb006b929,India,1889
port2430,Alang,India,IND,Asia & Pacific,"Alang, India",21.410734173909514,72.19845818658709,6,2,1,2,0,1,,,,0.01,0.01,,bcd8dfe6d1b74ac387b629d50a5f80c0,India,1987
port2481,Chhara LNG Terminal,India,IND,Asia & Pacific,"Chhara LNG Terminal, India",20.719951844749172,70.7436301260347,0,0,0,0,0,0,,,,0.0,0.0,,f9d03ba269014e809035496d3792eee6,India,2039
