feature,importance
portid_port776,0.07441676
portcalls_rolling_max_30,0.05343769
portcalls_rolling_max_14,0.04048596
portcalls_rolling_mean_30,0.037058134
portcalls_rolling_mean_14,0.036641687
portcalls_container_rolling_mean_30,0.035253335
portcalls_container_rolling_max_30,0.034147177
import_container,0.033056013
portcalls_dry_bulk_rolling_mean_30,0.032964066
export_cargo_rolling_mean_30,0.027233655
import_cargo_rolling_max_30,0.024186566
portcalls_tanker_rolling_mean_14,0.02243831
portcalls_rolling_mean_7,0.021887809
portcalls_container,0.021106394
import_cargo_rolling_mean_30,0.02072905
